Engagements,Followers at Posting,Album,Photo,Video,CreatedDayofweek,CreatedDayofyear,CreatedTotalMinutes
502093,0.5414905192531884,0,0,1,1,-0.07047838846705705,0.29586254439935883
603380,0.5414905192531884,0,0,1,1,-0.07047838846705705,0.27015024419088074
603380,0.5414905192531884,0,0,1,1,-0.07047838846705705,0.24652272508038733
725100,0.5414905192531884,0,0,1,1,-0.07047838846705705,0.23470896552514062
661446,0.5414905192531884,0,0,1,1,-0.07047838846705705,0.18258943807552283
322444,0.5390521958049501,0,1,0,1,-0.07047838846705705,-0.09885601015241323
722540,0.5390521958049501,0,0,1,1,-0.07047838846705705,-0.16278929715727772
339265,0.5390521958049501,0,1,0,1,-0.07047838846705705,-0.3094189010488691
443330,0.5390521958049501,0,1,0,1,-0.07047838846705705,-0.6506280740857002
652193,0.5390521958049501,0,0,1,1,-0.07047838846705705,-0.657577344412316
652193,0.5390521958049501,0,0,1,1,-0.07047838846705705,-0.6624418336409469
443330,0.5390521958049501,0,1,0,1,-0.07047838846705705,-0.6673063228695779
713427,0.5390521958049501,0,0,1,1,-0.07047838846705705,-0.6693911039675626
470233,0.5390521958049501,0,1,0,0,-0.0732256412143098,0.3125407931832365
675091,0.5390521958049501,0,0,1,0,-0.0732256412143098,0.3062864498892824
443543,0.5390521958049501,0,1,0,0,-0.0732256412143098,0.29794732549734354
718485,0.5390521958049501,0,0,1,0,-0.0732256412143098,0.2951676173666973
427347,0.5390521958049501,0,1,0,0,-0.0732256412143098,0.2937777633013741
696779,0.5390521958049501,0,0,1,0,-0.0732256412143098,0.2916929822033894
569271,0.5390521958049501,0,1,0,0,-0.0732256412143098,0.29030312813806625
603391,0.5390521958049501,0,0,1,0,-0.0732256412143098,0.2611161927662803
603391,0.5390521958049501,0,0,1,0,-0.0732256412143098,0.2562517035376493
711819,0.5390521958049501,0,0,1,0,-0.0732256412143098,0.20969159234932408
404760,0.5390521958049501,0,1,0,0,-0.0732256412143098,0.1714706055529377
534517,0.5368747496774795,0,0,1,0,-0.0732256412143098,0.06236706142507113
590945,0.5368747496774795,0,0,1,0,-0.0732256412143098,-0.180162472973817
354472,0.5368747496774795,0,1,0,0,-0.0732256412143098,-0.2621638628278823
412221,0.5368747496774795,0,1,0,0,-0.0732256412143098,-0.6527128551836849
646075,0.5368747496774795,0,0,1,6,-0.07597289396156255,0.28126907671346585
708249,0.5368747496774795,0,0,1,6,-0.07597289396156255,0.2673705360602344
708249,0.5368747496774795,0,0,1,6,-0.07597289396156255,0.2611161927662803
366002,0.5368747496774795,0,1,0,6,-0.07597289396156255,0.24652272508038733
843345,0.5368747496774795,0,0,1,6,-0.07597289396156255,0.23331911145981749
589358,0.5368747496774795,0,0,1,6,-0.07597289396156255,0.21525100861061663
646075,0.5368747496774795,0,0,1,6,-0.07597289396156255,0.20969159234932408
443147,0.5368747496774795,0,1,0,6,-0.07597289396156255,0.17980972994487654
843345,0.5368747496774795,0,0,1,6,-0.07597289396156255,0.17564016774890712
686948,0.5368747496774795,0,0,1,6,-0.07597289396156255,0.17425031368358398
708249,0.5368747496774795,0,0,1,6,-0.07597289396156255,0.15618221083438316
646086,0.5344761482904281,0,0,1,6,-0.07597289396156255,0.12630034842993562
591423,0.5344761482904281,0,0,1,6,-0.07597289396156255,-0.09051688576047438
554182,0.5344761482904281,0,0,1,6,-0.07597289396156255,-0.19545086769237155
367570,0.5344761482904281,0,1,0,6,-0.07597289396156255,-0.3038594847875765
436512,0.5344761482904281,0,1,0,6,-0.07597289396156255,-0.6256107009098837
815419,0.5344761482904281,0,0,1,6,-0.07597289396156255,-0.6742555931961937
436512,0.5344761482904281,1,0,0,6,-0.07597289396156255,-0.6777302283595015
